study,id,t,y,sd,n,rob,indirectness
DA(pr/B) Int,1,Dopamine Agonist,-1.9,4.3,152,1,1
DA(pr/B) Int,1,Placebo,-0.3,4.4,76,1,1
DA(B) Germany,2,Dopamine Agonist,-3.4,2.78,20,1,1
DA(B) Germany,2,Placebo,0.3,3.66,20,1,1
DA(C)Spain,3,Dopamine Agonist,-3.33,3.47,14,1,1
DA(C)Spain,3,Placebo,-2.47,3.91,12,1,1
DA(C) UK,4,Dopamine Agonist,-2,2.33,18,1,1
DA(C) UK,4,Placebo,-0.7,2.25,16,1,1
DA(C) USA,5,Dopamine Agonist,-2.08,3.19,89,1,1
DA(C) USA,5,Placebo,-0.77,3.34,46,1,1
DA(pe) N America,6,Dopamine Agonist,-1.8,4.8,189,1,1
DA(pe) N America,6,Placebo,-0.2,4.8,187,1,1
DA(Pr) Aus/ger,7,Dopamine Agonist,-2.3,2.7,23,2,1
DA(Pr) Aus/ger,7,Placebo,0.4,3.5,37,2,1
DA(Pr) CLEOPATRA,8,Dopamine Agonist,-2.8,2.83,200,1,1
DA(Pr) CLEOPATRA,8,Placebo,-0.9,5,100,1,1
DA(Pr) Denmark,9,Dopamine Agonist,-1.2,2.9,29,1,1
DA(Pr) Denmark,9,Placebo,-0.9,5,29,1,1
DA(Pr) Europe,10,Dopamine Agonist,-1.94,2.59,174,2,1
DA(Pr) Europe,10,Placebo,-0.12,3.11,180,2,1
DA(Pr) US/CANADA,11,Dopamine Agonist,-2.4,3.4,174,1,1
DA(Pr) US/CANADA,11,Placebo,-0.7,3.7,172,1,1
DA(Pr) EASE-PD,12,Dopamine Agonist,-2.1,4.54,201,3,1
DA(Pr) EASE-PD,12,Placebo,-0.3,4.41,190,3,1
DA(Pr) France/Eng,13,Dopamine Agonist,-1.74,2.36,23,1,1
DA(Pr) France/Eng,13,Placebo,-2.22,3,23,1,1
DA(Pr) UK/Israel,14,Dopamine Agonist,-1.33,2.35,42,1,1
DA(Pr) UK/Israel,14,Placebo,-0.75,2.81,22,1,1
DA(Pr) USA,15,Dopamine Agonist,-1.53,4.28,90,1,1
DA(Pr) USA,15,Placebo,-1.22,3.7,53,1,1
COMTI(E) Colemen,16,COMTI,-1.6,2.5,129,1,1
COMTI(E) Colemen,16,Placebo,-0.9,3.4,74,1,1
COMTI(E) ComQol,17,COMTI,-1,1.9,174,1,1
COMTI(E) ComQol,17,Placebo,-0.9,2,96,1,1
COMTI(E) INT-OZ,18,COMTI,-0.86,2.9,99,1,1
COMTI(E) INT-OZ,18,Placebo,-0.54,3.13,63,1,1
LARGO,19,COMTI,-1.2,2.21,218,1,1
LARGO,19,Placebo,-0.4,2.21,218,1,1
LARGO,19,MAOBI,-1.18,2.23,222,1,1
COMTI(E) Nomecomt,20,COMTI,-1.3,2.2,85,2,1
COMTI(E) Nomecomt,20,Placebo,-0.1,2.45,86,2,1
COMTI(E) Sth Korea,21,COMTI,-1.5,2.55,98,1,1
COMTI(E) Sth Korea,21,Placebo,-1,2.29,99,1,1
COMTI(E) UK/Irish,22,COMTI,-1.1,2.55,115,2,1
COMTI(E) UK/Irish,22,Placebo,-0.3,2.85,57,2,1
COMTI(T) China,23,COMTI,-1.9,3.3,20,2,1
COMTI(T) China,23,Placebo,0.15,3.3,20,2,1
COMTI(T) Europe,24,COMTI,-2.03,2.6,60,1,1
COMTI(T) Europe,24,Placebo,-0.67,2.8,58,1,1
COMTI(T) TFSG1,25,COMTI,-1.61,1.77,40,1,1
COMTI(T) TFSG1,25,Placebo,-0.04,1.75,42,1,1
COMTI(T) TFSG3,26,COMTI,-2,2.49,69,2,1
COMTI(T) TFSG3,26,Placebo,-0.3,2.55,72,2,1
COMTI(T) TIPS I,27,COMTI,-1.78,2.76,31,2,1
COMTI(T) TIPS I,27,Placebo,-0.11,2.63,37,2,1
MAOBI(R) PRESTO,28,MAOBI,-1.85,2.5,149,1,1
MAOBI(R) PRESTO,28,Placebo,-0.91,2.5,159,1,1
MAOBI(ZS) USA,29,MAOBI,-2.2,2.43,94,2,1
MAOBI(ZS) USA,29,Placebo,-0.6,2.49,46,2,1
