rowID,studyID,armID,study_name,manga,study_year,pub_year,drug_name,drug_abbrev,Ntotal,Published,age_mean,age_sd,_Female,Dosing_schedule,Dose_range,Sponsoredbythisdrugcompanyo,Investigational_Comparator,ascale,baseline_mean,V,mean_efficacy,Imputation,Responders,IMPUTEDresp,Unpublished,Recruitment,type,Patient_status,Placebo_run_in,weeks,Rescue_med,Sequence_generation,Allocation_concealment,Blinding_participant,Blinding_therapist,Blinding_assessor,AP,Selective_reporting_bias,dropoutSTUDY,dropoutARM,dropoutDIFF,OverallRoB,PLAresp,Narms,PLAprop,Overall_arm_RoB,PC,PLAprob,PC2,PC3,t
a20,8,1,Hale2010 (CL3-20098-045),0,2008,2008,agomelatine,agom,252,R can come both from pub and unpub data and match,41.8,11.2,0.77,Flexible,Licensed,Yes,Investigational,HAMD17,28.5,8,-17.3,LOCF,177,0,Yes,NA,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,NA,0.119047619,0.034350439,Low risk,NA,2,0,Moderate risk,0,0,0,0,1
a21,8,2,Hale2010 (CL3-20098-045),0,2008,2008,fluoxetine,fluo,263,R can come both from pub and unpub data and match,42.7,11.9,0.783,Flexible,Licensed,No,Comparator,HAMD17,28.7,8,-16,LOCF,164,0,Yes,NA,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0.153398058,0.186311787,0.032913729,Low risk,NA,2,0,Low risk,0,0,0,0,8
a24,10,1,Montgomery2004b (CL3-20098-030),0,2001,2001,agomelatine,agom,167,Inadequate pub data and R from unpub data,42.8,13.5,NA,Fixed,Licensed,Yes,Investigational,MADRS,23.1,12,-11.9,Others,106,0,Yes,NA,Multi-center,Outpatients only,No,12,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,NA,0.209580838,0.000625614,Low risk,NA,2,0,Moderate risk,0,0,0,0,1
a25,10,2,Montgomery2004b (CL3-20098-030),0,2001,2001,paroxetine,paro,168,Inadequate pub data and R from unpub data,42.1,13.4,NA,Fixed,Licensed,No,Comparator,MADRS,23,12,-14,Others,120,0,Yes,NA,Multi-center,Outpatients only,No,12,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0.208955224,0.208333333,0.000621891,Low risk,NA,2,0,Low risk,0,0,0,0,13
a26,11,1,CL3-20098-036,0,2004,2004,agomelatine,agom,137,No pub data and R from unpub data,39.6,10.3,0.718,Fixed,Licensed,Yes,Investigational,MADRS,27.9,12,-17.8,Others,113,0,Yes,NA,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,NA,0.124087591,0.031147066,Low risk,NA,2,0,Moderate risk,0,0,0,0,1
a27,11,2,CL3-20098-036,0,2004,2004,venlafaxine,venl,140,No pub data and R from unpub data,42.1,10,0.718,Flexible,Licensed,No,Comparator,MADRS,27.9,12,-18.1,Others,111,0,Yes,NA,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0.155234657,0.185714286,0.030479629,Low risk,NA,2,0,Low risk,0,0,0,0,17
a28,12,1,CL3-20098-048,0,2008,2008,agomelatine,agom,213,No pub data and R from unpub data,68.6,6.2,NA,Flexible,Licensed,Yes,Investigational,HAMD17,26.3,12,-14,Others,127,0,Yes,NA,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,NA,0.244131455,0.00344136,Low risk,NA,2,0,Moderate risk,0,0,0,0,1
a29,12,2,CL3-20098-048,0,2008,2008,paroxetine,paro,199,No pub data and R from unpub data,68.3,6.2,NA,Flexible,Licensed,No,Comparator,HAMD17,26.2,12,-14.5,Others,118,0,Yes,NA,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0.247572816,0.251256281,0.003683466,Low risk,NA,2,0,Low risk,0,0,0,0,13
a30,13,1,"Shu2014 (CL3-20098-052, ChiCTR-TRC-11001668)",0,2008,2014,agomelatine,agom,314,R can come both from pub and unpub data and match,39.2,12.8,0.682,Flexible,Licensed,Yes,Investigational,HAMD17,26.8,8,12,LOCF,205,0,Yes,Asia,Multi-center,Outpatients only,No,8,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,NA,0.222929936,0.007961783,Low risk,NA,2,0,Moderate risk,0,0,0,0,1
a31,13,2,"Shu2014 (CL3-20098-052, ChiCTR-TRC-11001668)",0,2008,2014,fluoxetine,fluo,314,R can come both from pub and unpub data and match,38.9,12.6,0.707,Flexible,Licensed,No,Comparator,HAMD17,26.8,8,11.8,LOCF,209,0,Yes,Asia,Multi-center,Outpatients only,No,8,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0.23089172,0.238853503,0.007961783,Low risk,NA,2,0,Low risk,0,0,0,0,8
a32,14,1,"
Quera-Salva2010 (CL3-20098-056)",0,2008,2010,agomelatine,agom,71,R can come both from pub and unpub data and match,41.3,12.4,NA,Flexible,Licensed,Yes,Investigational,HAMD17,26.1,6,11.4,Others,44,0,Yes,NA,Multi-center,Outpatients only,No,25,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,NA,0.084507042,0.016942233,Low risk,NA,2,0,Moderate risk,0,0,0,0,1
a33,14,2,"
Quera-Salva2010 (CL3-20098-056)",0,2008,2010,escitalopram,esci,67,R can come both from pub and unpub data and match,41.4,10.7,NA,Flexible,Licensed,No,Comparator,HAMD17,26.1,6,12.7,Others,36,0,Yes,NA,Multi-center,Outpatients only,No,25,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0.101449275,0.119402985,0.01795371,Low risk,NA,2,0,Low risk,0,0,0,0,7
a34,15,1,CL3-20098-062,0,2010,2010,agomelatine,agom,202,No pub data and R from unpub data,43,12.3,NA,Flexible,Licensed,Yes,Investigational,HAMD17,26.2,8,-14.4,Others,131,0,Yes,NA,Multi-center,Outpatients only,No,25,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,NA,0.183168317,NA,Low risk,NA,2,0,Moderate risk,0,0,0,0,1
a35,15,2,CL3-20098-062,0,2010,2010,duloxetine,dulo,216,No pub data and R from unpub data,42.5,11.9,NA,Fixed,Licensed,No,Comparator,HAMD17,26.3,8,-16.1,Others,153,0,Yes,NA,Multi-center,Outpatients only,No,25,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,NA,0.162037037,NA,Low risk,NA,2,0,Low risk,0,0,0,0,6
a36,16,1,Corruble2013 (CL3-20098-063),0,2008,2008,agomelatine,agom,164,R can come both from pub and unpub data and match,43.6,12.9,0.732,Flexible,Licensed,Yes,Investigational,HAMD17,26.8,12,-18.7,LOCF,134,0,Yes,NA,Multi-center,Outpatients only,No,25,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,NA,0.12195122,0.01076483,Low risk,NA,2,0,Moderate risk,0,0,0,0,1
a37,16,2,Corruble2013 (CL3-20098-063),0,2008,2008,escitalopram,esci,160,R can come both from pub and unpub data and match,42.8,11.8,0.687,Flexible,Licensed,No,Comparator,HAMD17,26.6,12,-18.3,LOCF,128,0,Yes,NA,Multi-center,Outpatients only,No,25,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0.132716049,0.14375,0.011033951,Low risk,NA,2,0,Low risk,0,0,0,0,7
a44,19,1,Lemoine2007 (CL3-20098-035),0,2004,2004,agomelatine,agom,165,R can come both from pub and unpub data and match,40.7,10.7,0.752,Fixed,Licensed,Yes,Investigational,HAMD17,25.9,6,9.9,LOCF,126,0,Yes,Europe,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,NA,0.096969697,0.059656809,Moderate risk,NA,4,0,High risk,0,0,0,0,1
